PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
268,0,0,2.23,-64.02,-22.22,0,0,0,0
269,0,0,2.25,-63.85,-21.24,0,0,0,0
270,0,0,2.28,-63.69,-20.25,0,0,0,0
271,0,0,2.31,-63.52,-19.27,0,0,0,0
272,0,0,2.34,-63.36,-18.28,0,0,0,0
273,0,0,2.37,-63.19,-17.3,0,0,0,0
274,0,0,2.4,-63.03,-16.31,0,0,0,0
275,0,0,2.43,-62.86,-15.32,0,0,0,0
276,0,0,2.46,-62.7,-14.34,0,0,0,0
277,0,0,2.48,-62.53,-13.35,0,0,0,0
278,0,0,2.51,-62.37,-12.37,0,0,0,0
279,0,0,2.54,-62.2,-11.38,0,0,0,0
280,0,0,2.57,-62.04,-10.39,0,0,0,0
281,0,0,2.6,-61.87,-9.41,0,0,0,0
282,0,0,2.63,-61.94,-8.41,0,0,0,0
283,0,0,2.67,-62.11,-7.43,0,0,0,0
284,0,0,2.71,-62.37,-6.46,0,0,0,0
285,0,0,2.75,-62.71,-5.52,0,0,0,0
286,0,0,2.79,-63.1,-4.6,0,0,0,0
287,0,0,2.84,-63.53,-3.7,0,0,0,0
288,0,0,2.88,-64.01,-2.82,0,0,0,0
289,0,0,2.92,-64.52,-1.97,0,0,0,0
290,0,0,2.96,-65.06,-1.12,0,0,0,0
291,0,0,3.01,-65.62,-0.3,0,0,0,0
292,0,0,3.05,-66.21,0.51,0,0,0,0
293,0,0,3.09,-66.81,1.31,0,0,0,0
294,0,0,3.14,-67.43,2.09,0,0,0,0
295,0,0,3.18,-68.06,2.87,0,0,0,0
296,0,0,3.23,-68.71,3.63,0,0,0,0
297,0,0,3.27,-69.37,4.38,0,0,0,0
298,0,0,3.32,-70.04,5.12,0,0,0,0
299,0,0,3.39,-70.21,6.1,0,0,0,0
300,0,0,3.47,-70.31,7.09,0,0,0,0
301,0,0,3.54,-70.34,8.09,0,0,0,0
302,0,0,3.62,-70.33,9.09,0,0,0,0
303,0,0,3.69,-70.28,10.08,0,0,0,0
304,0,0,3.77,-70.2,11.08,0,0,0,0
305,0,0,3.84,-70.09,12.07,0,0,0,0
306,0,0,3.92,-69.97,13.06,0,0,0,0
307,0,0,3.99,-69.82,14.04,0,0,0,0
308,0,0,4.07,-69.67,15.03,0,0,0,0
309,0,0,4.14,-69.5,16.01,0,0,0,0
310,0,0,4.22,-69.32,16.99,0,0,0,0
311,0,0,4.29,-69.13,17.97,0,0,0,0
312,0,0,4.37,-68.94,18.95,0,0,0,0
313,0,0,4.44,-68.75,19.93,0,0,0,0
314,0,0,4.52,-68.55,20.91,0,0,0,0
315,0,0,4.59,-68.35,21.88,0,0,0,0
316,0,0,4.66,-68.15,22.86,0,0,0,0
317,0,0,4.74,-67.96,23.84,0,0,0,0
318,0,0,4.81,-67.77,24.82,0,0,0,0
319,0,0,4.89,-67.59,25.8,0,0,0,0
320,0,0,4.96,-67.43,26.78,0,0,0,0
321,0,0,5.01,-67.26,27.77,0,0,0,0
322,0,0,5.06,-67.09,28.75,0,0,0,0
323,0,0,5.11,-66.91,29.74,0,0,0,0
324,0,0,5.16,-66.74,30.72,0,0,0,0
325,0,0,5.21,-66.56,31.7,0,0,0,0
326,0,0,5.26,-66.39,32.69,0,0,0,0
327,0,0,5.31,-66.22,33.67,0,0,0,0
328,0,0,5.36,-66.04,34.65,0,0,0,0
329,0,0,5.41,-65.87,35.64,0,0,0,0
330,0,0,5.46,-65.69,36.62,0,0,0,0
331,0,0,5.51,-65.52,37.6,0,0,0,0
332,0,0,5.56,-65.35,38.59,0,0,0,0
333,0,0,5.61,-65.17,39.57,0,0,0,0
334,0,0,5.66,-65,40.55,0,0,0,0
335,0,0,5.71,-64.83,41.54,0,0,0,0
336,0,0,5.76,-64.65,42.52,0,0,0,0
337,0,0,5.81,-64.48,43.5,0,0,0,0
338,0,0,5.86,-64.3,44.49,0,0,0,0
339,0,0,5.91,-64.13,45.47,0,0,0,0
340,0,0,5.96,-63.96,46.46,0,0,0,0
341,0,0,6.01,-63.78,47.44,0,0,0,0
342,0,0,6.06,-63.61,48.42,0,0,0,0
343,0,0,6.11,-63.44,49.41,0,0,0,0
344,0,0,6.16,-63.26,50.39,0,0,0,0
345,0,0,6.21,-63.09,51.37,0,0,0,0
346,0,0,6.25,-62.91,52.36,0,0,0,0
347,0,0,6.3,-62.74,53.34,0,0,0,0
348,0,0,6.35,-62.57,54.32,0,0,0,0
349,0,0,6.4,-62.39,55.31,0,0,0,0
350,0,0,6.45,-62.22,56.29,0,0,0,0
351,0,0,6.5,-62.04,57.27,0,0,0,0
352,0,0,6.55,-61.87,58.26,0,0,0,0
353,0,0,6.6,-61.7,59.24,0,0,0,0
354,0,0,6.65,-61.52,60.22,0,0,0,0
355,0,0,6.7,-61.35,61.21,0,0,0,0
356,0,0,6.75,-61.18,62.19,0,0,0,0
357,0,0,6.8,-61,63.18,0,0,0,0
358,0,0,6.85,-60.83,64.16,0,0,0,0
359,0,0,6.9,-60.65,65.14,0,0,0,0
360,0,0,6.95,-60.48,66.13,0,0,0,0
361,0,0,7,-60.31,67.11,0,0,0,0
362,0,0,7.05,-60.13,68.09,0,0,0,0
363,0,0,7.1,-59.96,69.08,0,0,0,0
