PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
244,0,0,-1,-179.79,-69.3,0,0,0,0
245,0,0,-1,-180.76,-69.56,0,0,0,0
246,0,0,-1,-181.72,-69.81,0,0,0,0
247,0,0,-1,-182.69,-70.07,0,0,0,0
248,0,0,-1,-183.66,-70.33,0,0,0,0
249,0,0,-1,-184.62,-70.59,0,0,0,0
250,0,0,-1,-185.59,-70.84,0,0,0,0
251,0,0,-1,-186.55,-71.1,0,0,0,0
252,0,0,-1,-187.52,-71.36,0,0,0,0
253,0,0,-1,-188.49,-71.62,0,0,0,0
254,0,0,-1,-189.45,-71.89,0,0,0,0
255,0,0,-1,-190.42,-72.15,0,0,0,0
256,0,0,-1,-191.38,-72.41,0,0,0,0
257,0,0,-1,-192.34,-72.68,0,0,0,0
258,0,0,-1,-193.31,-72.94,0,0,0,0
259,0,0,-1,-194.27,-73.21,0,0,0,0
260,0,0,-1,-195.24,-73.47,0,0,0,0
261,0,0,-1,-196.2,-73.74,0,0,0,0
262,0,0,-1,-197.16,-74.01,0,0,0,0
263,0,0,-1,-198.13,-74.28,0,0,0,0
264,0,0,-1,-199.09,-74.55,0,0,0,0
265,0,0,-1,-200.05,-74.83,0,0,0,0
266,0,0,-1,-201.01,-75.1,0,0,0,0
267,0,0,-1,-201.05,-75.12,0,0,0,0
268,0,0,-1,12.07,-20.43,0,0,0,0
269,0,0,-1,11.07,-20.45,0,0,0,0
270,0,0,-1,10.07,-20.41,0,0,0,0
271,0,0,-1,9.08,-20.31,0,0,0,0
272,0,0,-1,8.09,-20.15,0,0,0,0
273,0,0,-1,7.12,-19.93,0,0,0,0
274,0,0,-1,6.16,-19.63,0,0,0,0
275,0,0,-1,5.23,-19.27,0,0,0,0
276,0,0,-1,4.32,-18.84,0,0,0,0
277,0,0,-1,3.45,-18.35,0,0,0,0
278,0,0,-1,2.62,-17.8,0,0,0,0
279,0,0,-1,1.83,-17.19,0,0,0,0
280,0,0,-1,1.08,-16.53,0,0,0,0
281,0,0,-1,0.37,-15.83,0,0,0,0
282,0,0,-1,-0.3,-15.08,0,0,0,0
283,0,0,-1,-0.93,-14.3,0,0,0,0
284,0,0,-1,-1.52,-13.5,0,0,0,0
285,0,0,-1,-2.08,-12.66,0,0,0,0
286,0,0,-1,-2.6,-11.81,0,0,0,0
287,0,0,-1,-3.09,-10.94,0,0,0,0
288,0,0,-1,-3.55,-10.05,0,0,0,0
289,0,0,-1,-3.98,-9.15,0,0,0,0
