PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
251,0,0,0,-0.71,69.58,0,0,0,0
252,0,0,0,0.21,69.2,0,0,0,0
253,0,0,0,1.13,68.81,0,0,0,0
254,0,0,0,2.05,68.42,0,0,0,0
255,0,0,0,2.98,68.04,0,0,0,0
256,0,0,0,3.9,67.65,0,0,0,0
257,0,0,0,4.81,67.26,0,0,0,0
258,0,0,0,5.74,66.87,0,0,0,0
259,0,0,0,6.66,66.49,0,0,0,0
260,0,0,0,7.59,66.11,0,0,0,0
261,0,0,0,8.51,65.72,0,0,0,0
262,0,0,0,9.43,65.33,0,0,0,0
263,0,0,0,10.35,64.94,0,0,0,0
264,0,0,0,11.28,64.55,0,0,0,0
265,0,0,0,12.2,64.16,0,0,0,0
266,0,0,0,13.12,63.78,0,0,0,0
267,0,0,0,14.04,63.4,0,0,0,0
268,0,0,0,14.96,63.01,0,0,0,0
269,0,0,0,15.88,62.62,0,0,0,0
270,0,0,0,16.81,62.23,0,0,0,0
271,0,0,0,17.73,61.84,0,0,0,0
272,0,0,0,18.65,61.45,0,0,0,0
273,0,0,0,19.57,61.06,0,0,0,0
274,0,0,0,20.49,60.68,0,0,0,0
275,0,0,0,21.41,60.3,0,0,0,0
276,0,0,0,22.34,59.91,0,0,0,0
277,0,0,0,23.26,59.52,0,0,0,0
278,0,0,0,24.16,59.07,0,0,0,0
279,0,0,0,25.05,58.61,0,0,0,0
280,0,0,0,25.91,58.13,0,0,0,0
281,0,0,0,26.78,57.61,0,0,0,0
282,0,0,0,27.61,57.07,0,0,0,0
283,0,0,0,28.42,56.49,0,0,0,0
284,0,0,0,29.21,55.87,0,0,0,0
285,0,0,0,29.96,55.21,0,0,0,0
